Make,Model,Location,First registration,Mileage,Power,Transmission,Fuel,Drive type,Consumption,CO2 emissions,Body color,Interior color,Interior material,Body,Doors,Seats,Price
Citroën,C5 Aircross,Spain,7/2023,27 000 km,129 hp,Automatic,Diesel,4x2,5.2 l/100km,102 g/km,Black,Other interior color,Other interior material,SUV / offroad,4/5 doors,5.0,22949.0
Nissan,X-Trail,Germany,9/2024,4 500 km,211 hp,Automatic,Petrol,4x4,6.5 l/100km,146 g/km,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5.0,51649.0
Suzuki,SX4 S-Cross,Netherlands,1/2024,9 393 km,127 hp,Manual,Petrol,4x2,,,Silver,Other interior color,Full leather interior,SUV / offroad,4/5 doors,5.0,28449.0
Suzuki,Ignis,France,6/2020,13 300 km,90 hp,Manual,Petrol,4x2,4.7 l/100km,107 g/km,,Black interior,Other interior material,SUV / offroad,4/5 doors,4.0,15399.0
Peugeot,Rifter,Poland,1/2021,65 140 km,129 hp,Manual,Diesel,4x2,5.3 l/100km,115 g/km,Grey,,,MPV/VAN,4/5 doors,7.0,30199.0
Seat,Ibiza,Germany,8/2021,105 075 km,109 hp,Manual,Petrol,4x2,4.9 l/100km,111 g/km,White,Black interior,Cloth interior,Hatchback,4/5 doors,5.0,15199.0
Opel,Adam,Germany,11/2015,127 000 km,148 hp,Manual,Petrol,4x2,6.3 l/100km,144 g/km,,Black interior,Full leather interior,Hatchback,2/3 doors,4.0,10599.0
Volkswagen,Passat,Austria,8/2019,108 400 km,118 hp,Automatic,Diesel,4x2,5.3 l/100km,120 g/km,Grey,Black interior,Alcantara interior,Station Wagon,4/5 doors,5.0,18499.0
Audi,A4,Italy,11/2022,29 555 km,161 hp,Automatic,Diesel,4x2,4.1 l/100km,108 g/km,Black,Grey interior,Cloth interior,Station Wagon,4/5 doors,5.0,40499.0
Audi,A1,Italy,2/2024,8 048 km,109 hp,Automatic,Petrol,4x2,4.9 l/100km,112 g/km,White,Grey interior,Cloth interior,Hatchback,4/5 doors,5.0,32249.0
Mazda,CX-5,Germany,7/2024,4 km,192 hp,Automatic,Petrol,4x2,7.2 l/100km,163 g/km,Black,Grey interior,Other interior material,SUV / offroad,4/5 doors,5.0,40549.0
Porsche,992,Italy,7/2020,37 000 km,444 hp,Automatic,Petrol,4x2,9.6 l/100km,220 g/km,Grey,Other interior color,Other interior material,Coupe,2/3 doors,4.0,133399.0
Kia,Ceed,Germany,10/2024,35 km,138 hp,Automatic,Petrol,4x2,6.1 l/100km,137 g/km,Black,Other interior color,Part leather interior,Station Wagon,4/5 doors,5.0,35849.0
Suzuki,Swift,Germany,3/2023,8 500 km,127 hp,Manual,Petrol,4x2,,,Blue,Black interior,Cloth interior,Hatchback,4/5 doors,5.0,24449.0
Nissan,Juke,Italy,5/2020,49 639 km,115 hp,Manual,Petrol,4x2,4.9 l/100km,112 g/km,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,5.0,19949.0
Volkswagen,Golf,Germany,8/2024,0 km,148 hp,Manual,Petrol,4x2,5.3 l/100km,120 g/km,Grey,Black interior,Cloth interior,Hatchback,4/5 doors,5.0,27299.0
