Make,Model,Location,First registration,Mileage,Power,Transmission,Fuel,Drive type,Consumption,CO2 emissions,Body color,Interior color,Interior material,Body,Doors,Seats,Price
Citroën,C5 Aircross,Spain,2023,27000,129,Automatic,Diesel,4x2,5.2,102,Black,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,22949.0
Nissan,X-Trail,Germany,2024,4500,211,Automatic,Petrol,4x4,6.5,146,Grey,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,51649.0
Suzuki,SX4 S-Cross,Netherlands,2024,9393,127,Manual,Petrol,4x2,7.7,187,Silver,Other interior color,Full leather interior,SUV / offroad,4/5 doors,5,28449.0
Suzuki,Ignis,France,2020,13300,90,Manual,Petrol,4x2,4.7,107,4/5 doors,Black interior,Other interior material,SUV / offroad,4/5 doors,4,15399.0
Peugeot,Rifter,Poland,2021,65140,129,Manual,Diesel,4x2,5.3,115,Grey,4/5 doors,4/5 doors,MPV/VAN,4/5 doors,7,30199.0
Seat,Ibiza,Germany,2021,105075,109,Manual,Petrol,4x2,4.9,111,White,Black interior,Cloth interior,Hatchback,4/5 doors,5,15199.0
Opel,Adam,Germany,2015,127000,148,Manual,Petrol,4x2,6.3,144,4/5 doors,Black interior,Full leather interior,Hatchback,2/3 doors,4,10599.0
Volkswagen,Passat,Austria,2019,108400,118,Automatic,Diesel,4x2,5.3,120,Grey,Black interior,Alcantara interior,Station Wagon,4/5 doors,5,18499.0
Audi,A4,Italy,2022,29555,161,Automatic,Diesel,4x2,4.1,108,Black,Grey interior,Cloth interior,Station Wagon,4/5 doors,5,40499.0
Audi,A1,Italy,2024,8048,109,Automatic,Petrol,4x2,4.9,112,White,Grey interior,Cloth interior,Hatchback,4/5 doors,5,32249.0
Mazda,CX-5,Germany,2024,4,192,Automatic,Petrol,4x2,7.2,163,Black,Grey interior,Other interior material,SUV / offroad,4/5 doors,5,40549.0
Porsche,992,Italy,2020,37000,444,Automatic,Petrol,4x2,9.6,220,Grey,Other interior color,Other interior material,Coupe,2/3 doors,4,133399.0
Kia,Ceed,Germany,2024,35,138,Automatic,Petrol,4x2,6.1,137,Black,Other interior color,Part leather interior,Station Wagon,4/5 doors,5,35849.0
Suzuki,Swift,Germany,2023,8500,127,Manual,Petrol,4x2,7.7,187,Blue,Black interior,Cloth interior,Hatchback,4/5 doors,5,24449.0
Nissan,Juke,Italy,2020,49639,115,Manual,Petrol,4x2,4.9,112,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,19949.0
Volkswagen,Golf,Germany,2024,0,148,Manual,Petrol,4x2,5.3,120,Grey,Black interior,Cloth interior,Hatchback,4/5 doors,5,27299.0
Volkswagen,Golf,Germany,2024,1900,148,Automatic,Petrol,4x2,5.4,124,Blue,Black interior,Velour interior,Station Wagon,4/5 doors,5,39449.0
Fiat,500C,Germany,2020,22488,68,Manual,Petrol,4x2,3.9,88,Grey,Grey interior,Other interior material,Cabriolet,2/3 doors,4,12849.0
